candidate_id,pairing,verdict,total_score,tier1_score,error,tap_total,tap_hydrophobic,tap_positive,tap_negative,tap_sfvcsp,tap_flag_total,tap_flag_hydrophobic,tap_flag_positive,tap_flag_negative,tap_flag_sfvcsp,tap_weight,n_immuno_cdr,n_immuno_framework,n_immuno_observed,immuno_weight,n_predicted_binders,n_dropped_germline,vh_v_gene,vl_v_gene,structure_available,immunogenicity_available
Izastobart,TheraSAbDab,CONDITIONAL,31.38,26.382,,49.0,185.11,0.168,0.0,12.71,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV3-15*01,IGLV1-44*04,1,1
Tamgiblimab,TheraSAbDab,GO,30.31,20.307,,49.0,178.035,0.098,0.0,15.3,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,10.0,,,IGHV1-46*01,IGKV1-12*01,1,1
Petosemtamab_2,TheraSAbDab,CONDITIONAL,37.61,35.605,,54.0,175.163,0.0,0.072,9.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,1,0,2.0,,,IGHV7-4-1*01,IGKV1-39*01,1,1
Micvotabart,TheraSAbDab,GO,28.74,23.743,,44.0,183.099,0.0,0.0,3.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV3-23*01,IGKV3-20*01,1,1
Conatumumab,TheraSAbDab,CONDITIONAL,34.91,27.913,,50.0,165.303,0.001,0.0,8.4,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,1,0,7.0,,,IGHV4-30-2*07,IGKV3-20*01,1,1
Lutikizumab,TheraSAbDab,NO-GO,45.66,26.657,,46.0,170.227,0.035,0.0,6.51,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,2,0,19.0,,,IGHV3-30*01,IGKV1-33*01,1,1
Anbenitamab,TheraSAbDab,NO-GO,47.44,27.44,,46.0,165.54,0.0,0.0,12.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,4,0,0,20.0,,,IGHV3-23*04,IGKV1-39*01,1,1
Drotokibart,TheraSAbDab,CONDITIONAL,38.85,28.847,,46.0,174.291,1.165,0.0,4.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,10.0,,,IGHV3-48*01,IGKV3-11*01,1,1
Perenostobart,TheraSAbDab,GO,17.72,17.722,,48.0,142.853,0.119,0.0,12.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,0,0,0,,,IGHV1-69*01,IGKV3-15*01,1,1
Urtoxazumab,TheraSAbDab,CONDITIONAL,37.15,22.149,,46.0,152.044,0.0,0.0,4.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,0,0,15.0,,,IGHV3-7*01,IGKV3-11*01,1,1
Zamubafusp,TheraSAbDab,NO-GO,46.44,34.436,,43.0,168.22,0.149,0.0,0.0,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,1,1,1,10.0,,,IGHV4-4*08,IGKV2-30*01,1,1
Brenetafusp,TheraSAbDab,NO-GO,52.35,32.355,,49.0,185.358,0.504,0.0,9.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,4,0,0,20.0,,,IGHV3-23*04,IGKV1D-7-1*01,1,1
Englumafusp,TheraSAbDab,CONDITIONAL,36.24,24.239,,53.0,161.224,1.499,0.671,2.0,GREEN,GREEN,AMBER,GREEN,GREEN,2.0,2,0,0,10.0,,,IGHV1-2*02,IGKV2-29*02,1,1
Velinotamig,TheraSAbDab,NO-GO,56.86,39.861,,45.0,159.287,1.216,0.0,28.4,GREEN,GREEN,AMBER,GREEN,GREEN,2.0,3,0,0,15.0,,,IGHV3-33*01,IGKV1-39*01,1,1
Narsoplimab,TheraSAbDab,NO-GO,43.88,31.88,,45.0,174.439,2.066,0.04,0.0,GREEN,GREEN,AMBER,GREEN,GREEN,2.0,2,0,0,10.0,,,IGHV2-26*01,IGLV3-1*01,1,1
Atinumab,TheraSAbDab,CONDITIONAL,37.38,28.376,,41.0,148.632,0.0,0.135,4.0,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,1,1,0,7.0,,,IGHV3-7*01,IGKV3-11*01,1,1
