candidate_id,pairing,triage_level,triage_name,cdr_repairs,framework_repairs,total_score,tier1_score,error,flag_sequence_sanity,flag_cysteine_pairing,flag_n_glycosylation,flag_ptm_liability,flag_v_domain_integrity,flag_poly_residue_run,flag_aggregation,flag_charge,flag_humanness,flag_disulfide_pairing,flag_immunogenicity,flag_immunogenicity_observed,flag_tap_cdr_length,flag_tap_psh,flag_tap_ppc,flag_tap_pnc,flag_tap_sfvcsp,model_conf_max,model_conf_mean,vh_germline_identity,tap_total,tap_hydrophobic,tap_positive,tap_negative,tap_sfvcsp,tap_flag_total,tap_flag_hydrophobic,tap_flag_positive,tap_flag_negative,tap_flag_sfvcsp,tap_weight,n_immuno_cdr,n_immuno_framework,n_immuno_observed,immuno_weight,n_predicted_binders,n_dropped_germline,vh_v_gene,vl_v_gene,structure_available,immunogenicity_available
Izastobart,TheraSAbDab,2,Rework,2,5,25.48,25.482,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.91,49.0,185.11,0.168,0.0,12.71,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,0.0,,,IGHV3-15*01,IGLV1-44*04,1,1
Tamgiblimab,TheraSAbDab,1,Ready,0,5,19.41,19.407,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.9592,49.0,178.035,0.098,0.0,15.3,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,0.0,,,IGHV1-46*01,IGKV1-12*01,1,1
Petosemtamab_2,TheraSAbDab,4,Hold,0,0,40.7,40.705,,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,,,0.9286,54.0,175.163,0.0,0.072,9.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,1,0,0.0,,,IGHV7-4-1*01,IGKV1-39*01,1,1
Conatumumab,TheraSAbDab,2,Rework,2,0,27.01,27.014,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.9192,50.0,165.303,0.001,0.0,8.4,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,1,0,0.0,,,IGHV4-30-2*07,IGKV3-20*01,1,1
Micvotabart,TheraSAbDab,1,Ready,0,6,23.84,23.843,,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,,,0.9388,44.0,183.099,0.0,0.0,3.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,0.0,,,IGHV3-23*01,IGKV3-20*01,1,1
Lutikizumab,TheraSAbDab,1,Ready,0,8,25.76,25.758,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.8163,46.0,170.227,0.035,0.0,6.51,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,2,0,0.0,,,IGHV3-30*01,IGKV1-33*01,1,1
Anbenitamab,TheraSAbDab,3,Immune risk,0,0,28.54,28.54,,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,,,0.7755,46.0,165.54,0.0,0.0,12.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,4,0,0,0.0,,,IGHV3-23*04,IGKV1-39*01,1,1
Drotokibart,TheraSAbDab,2,Rework,1,5,27.95,27.947,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.8878,46.0,174.291,1.165,0.0,4.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,0.0,,,IGHV3-48*01,IGKV3-11*01,1,1
Greziprubart,TheraSAbDab,1,Ready,0,7,19.87,19.873,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.87,51.0,179.174,0.111,0.061,1.1,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,0.0,,,IGHV3-72*01,IGKV2-28*01,1,1
Perenostobart,TheraSAbDab,1,Ready,0,3,16.82,16.822,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0.9592,48.0,142.853,0.119,0.0,12.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,0,0,0,,,IGHV1-69*01,IGKV3-15*01,1,1
